country,score_2010,score_2011,score_2012,score_2013,score_2014,score_2015,score_2016,score_2017,score_2018
Iceland,1.212,1.148,1.113,1.162,1.189,1.148,1.192,1.137,1.096
New Zealand,1.188,1.279,1.239,1.237,1.236,1.221,1.287,1.241,1.192
Austria,1.29,1.337,1.328,1.25,1.2,1.198,1.278,1.265,1.274
Portugal,1.366,1.453,1.47,1.467,1.425,1.344,1.356,1.258,1.318
Denmark,1.341,1.289,1.239,1.207,1.193,1.15,1.246,1.337,1.353
Canada,1.392,1.355,1.317,1.306,1.306,1.287,1.388,1.371,1.372
Czech Republic,1.36,1.32,1.396,1.404,1.381,1.341,1.36,1.36,1.381
Singapore,1.624,1.585,1.521,1.438,1.545,1.49,1.535,1.534,1.382
Japan,1.247,1.287,1.326,1.293,1.316,1.323,1.395,1.408,1.391
Ireland,1.337,1.37,1.328,1.37,1.384,1.354,1.433,1.408,1.393
Slovenia,1.358,1.358,1.33,1.374,1.398,1.378,1.408,1.364,1.396
Switzerland,1.424,1.421,1.349,1.272,1.258,1.275,1.37,1.373,1.407
Australia,1.467,1.455,1.494,1.438,1.414,1.329,1.465,1.425,1.435
Sweden,1.354,1.401,1.419,1.319,1.381,1.36,1.461,1.516,1.502
Finland,1.352,1.352,1.348,1.297,1.297,1.277,1.429,1.515,1.506
Norway,1.322,1.356,1.48,1.359,1.371,1.393,1.5,1.486,1.519
Germany,1.398,1.416,1.424,1.431,1.423,1.379,1.486,1.5,1.531
Hungary,1.495,1.495,1.476,1.52,1.482,1.463,1.534,1.494,1.531
Bhutan,1.665,1.693,1.481,1.487,1.422,1.416,1.445,1.474,1.545
Mauritius,,,1.487,1.497,1.544,1.503,1.559,1.547,1.548
Belgium,1.4,1.413,1.376,1.339,1.354,1.365,1.528,1.525,1.56
Slovakia,1.536,1.576,1.59,1.622,1.467,1.478,1.603,1.611,1.568
Netherlands,1.61,1.628,1.606,1.508,1.475,1.432,1.541,1.525,1.574
Romania,1.749,1.742,1.627,1.584,1.677,1.542,1.649,1.6,1.596
Malaysia,1.539,1.485,1.59,1.574,1.659,1.561,1.648,1.637,1.619
Bulgaria,1.785,1.845,1.699,1.663,1.637,1.607,1.646,1.631,1.635
Croatia,1.707,1.699,1.648,1.571,1.548,1.55,1.633,1.665,1.639
Chile,1.616,1.71,1.616,1.589,1.591,1.563,1.635,1.595,1.649
Botswana,1.641,1.695,1.621,1.598,1.678,1.597,1.639,1.622,1.659
Spain,1.588,1.641,1.548,1.563,1.548,1.451,1.604,1.568,1.678
Latvia,1.827,1.793,1.774,1.772,1.745,1.695,1.68,1.67,1.689
Poland,1.618,1.545,1.524,1.53,1.532,1.43,1.557,1.676,1.727
Estonia,1.751,1.798,1.715,1.71,1.635,1.677,1.732,1.712,1.732
Taiwan,1.664,1.638,1.602,1.538,1.558,1.657,1.787,1.782,1.736
Sierra Leone,1.818,1.904,1.855,1.904,1.942,1.864,1.805,1.76,1.74
Lithuania,1.713,1.76,1.741,1.784,1.797,1.674,1.735,1.732,1.749
Uruguay,1.568,1.521,1.628,1.528,1.565,1.721,1.726,1.709,1.761
Italy,1.701,1.775,1.69,1.663,1.675,1.669,1.774,1.737,1.766
Madagascar,2.019,2.239,2.124,2.074,1.942,1.911,1.763,1.797,1.766
Costa Rica,1.59,1.681,1.659,1.755,1.755,1.654,1.699,1.701,1.767
Ghana,1.781,1.752,1.807,1.899,1.902,1.84,1.809,1.793,1.772
Kuwait,1.693,1.667,1.792,1.705,1.679,1.626,1.842,1.909,1.799
Namibia,1.864,1.85,1.804,1.807,1.808,1.784,1.873,1.838,1.806
Malawi,1.813,1.74,1.894,1.984,1.995,1.814,1.817,1.825,1.811
United Arab Emirates,1.739,1.69,1.785,1.679,1.748,1.805,1.931,1.944,1.82
Laos,1.661,1.687,1.662,1.724,1.723,1.7,1.852,1.8,1.821
Mongolia,2.101,1.88,1.884,1.921,1.778,1.706,1.838,1.801,1.821
Zambia,1.813,1.833,1.83,1.832,1.791,1.846,1.783,1.786,1.822
South Korea,1.715,1.829,1.734,1.822,1.849,1.701,1.858,1.823,1.823
Panama,1.878,1.812,1.899,1.893,1.877,1.903,1.837,1.835,1.826
Tanzania,1.832,1.858,1.873,1.887,1.889,1.903,1.899,1.876,1.837
Albania,1.925,1.912,1.927,1.961,1.939,1.821,1.867,1.908,1.849
Senegal,2.031,2.047,1.994,2.061,1.974,1.805,1.978,1.929,1.849
Serbia,2.071,2.071,1.92,1.912,1.849,1.768,1.834,1.888,1.851
Indonesia,1.946,1.979,1.913,1.879,1.853,1.768,1.799,1.85,1.853
Qatar,1.394,1.398,1.395,1.48,1.491,1.568,1.716,1.664,1.869
United Kingdom,1.631,1.631,1.609,1.787,1.798,1.685,1.83,1.786,1.876
Montenegro,2.06,2.113,2.006,1.976,1.86,1.854,1.884,1.95,1.893
Timor-Leste,,,,1.854,1.947,1.86,1.879,1.866,1.895
Vietnam,1.691,1.67,1.641,1.772,1.792,1.848,1.906,1.919,1.905
France,1.636,1.697,1.71,1.863,1.808,1.742,1.829,1.839,1.909
Cyprus,1.64,2.013,2.013,1.957,1.84,1.844,1.924,1.94,1.913
Liberia,2.148,2.159,2.131,2.048,2.014,1.963,1.998,2.023,1.931
Moldova,1.938,1.892,1.927,1.984,1.971,1.942,1.953,1.938,1.939
Equatorial Guinea,1.948,2.041,2.039,2.072,2.079,1.987,1.94,1.93,1.946
Argentina,1.962,1.852,1.763,1.907,1.789,1.865,1.957,1.88,1.947
Sri Lanka,2.621,2.407,2.145,2.23,2.197,2.188,2.133,2.019,1.954
Nicaragua,1.924,2.021,2.006,1.931,1.882,1.947,1.975,2.002,1.96
Benin,,,2.231,2.156,2.129,1.958,1.998,2.014,1.973
Kazakhstan,2.113,2.137,2.151,2.031,2.15,2.008,2.019,1.992,1.974
Morocco,1.861,1.887,1.867,1.897,1.915,2.002,2.086,2.004,1.979
Eswatini,1.966,1.995,2.028,2.069,2.056,2.102,2.074,2.01,1.98
Oman,1.561,1.743,1.887,1.806,1.889,1.947,2.016,1.983,1.984
Peru,2.067,2.077,1.995,2.258,2.304,2.029,2.057,1.986,1.986
Ecuador,2.185,2.116,2.028,2.059,2.042,1.997,2.02,1.948,1.987
Gambia,1.89,1.91,1.961,2.091,2.085,2.086,2.091,2.211,1.989
Paraguay,2.019,1.954,1.973,2.06,1.976,2.023,2.037,1.961,1.997
Tunisia,1.678,1.765,1.955,2.005,2.001,1.952,1.949,1.977,1.998
Greece,1.887,1.947,1.976,1.957,2.052,1.878,2.044,1.998,2.02
Burkina Faso,1.852,1.832,1.881,2.064,1.998,1.994,2.063,2.07,2.029
Cuba,1.964,1.964,1.951,1.922,1.986,1.988,2.057,2.056,2.037
Guyana,2.095,2.112,1.937,1.962,2.013,2.029,2.105,2.021,2.043
Angola,2.057,2.109,2.105,2.148,2.143,2.02,2.14,2.116,2.048
Nepal,2.044,2.152,2.001,2.058,1.989,1.878,2.026,2.08,2.053
Trinidad and Tobago,2.107,2.051,2.082,2.074,2.065,2.07,2.056,2.095,2.053
Mozambique,1.779,1.809,1.796,1.91,2.004,1.976,1.963,2.013,2.056
